direction,condition,metric,numeric_value,source_artifact,source_column,source_row_key
D2_ISRUC_TO_SLEEPEDF,C2,entropy AURC,0.327285469783488,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C2|AURC|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C2,ABSOLUTE alpha-.10 coverage gap,0.06985750374022016,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C2|APS_coverage_gap_alpha_0.10|seed_mean|absolute value of mean frozen signed gap
D2_ISRUC_TO_SLEEPEDF,C3,macro-F1,0.4835434871729308,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C3|macro-F1|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C3,calibrated NLL,1.0583636099928257,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C3|NLL|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C3,entropy AURC,0.1623841067325258,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C3|AURC|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C3,ABSOLUTE alpha-.10 coverage gap,0.008844766937937168,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C3|APS_coverage_gap_alpha_0.10|seed_mean|absolute value of mean frozen signed gap
D2_ISRUC_TO_SLEEPEDF,C4,macro-F1,0.38231459305527987,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C4|macro-F1|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C4,calibrated NLL,1.55182832687947,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C4|NLL|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C4,entropy AURC,0.3213445157827282,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C4|AURC|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C4,ABSOLUTE alpha-.10 coverage gap,0.024242197861164504,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C4|APS_coverage_gap_alpha_0.10|seed_mean|absolute value of mean frozen signed gap
D2_ISRUC_TO_SLEEPEDF,C5,macro-F1,0.3604298679242472,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C5|macro-F1|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C5,calibrated NLL,1.2232295893053795,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C5|NLL|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C5,entropy AURC,0.45511834784508726,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C5|AURC|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C5,ABSOLUTE alpha-.10 coverage gap,0.0195321970016459,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C5|APS_coverage_gap_alpha_0.10|seed_mean|absolute value of mean frozen signed gap
