model_family,direction,seed,condition,alpha,population,qhat,coverage,mean_set_size,median_set_size,empty_fraction,size_1_fraction,size_2_fraction,size_3_fraction,size_4_fraction,size_5_fraction,epoch_count,subject_count
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0.1,COMPLETE_TARGET,0.9205145544172537,0.8400438910784666,1.725904693658187,2.0,0.01903439627373701,0.43929147259046936,0.3542301146542458,0.17165666427803655,0.015753762092439987,3.359011107130061e-05,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,17,C4,0.1,COMPLETE_TARGET,0.9205145544172537,0.837938910784665,1.8738915263346472,2.0,0.00990908276603368,0.353771049802938,0.40574614833393047,0.2137786635614475,0.01668308849874597,0.00011196703690433536,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,0.1,COMPLETE_TARGET,0.9205145544172537,0.7613758509494805,1.9373656395557148,2.0,0.014779648871372267,0.36028753135077035,0.3464596022930849,0.23058491580078824,0.04703735220351129,0.0008509494804729488,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,0.05,SOURCE_TEST,0.9653750926928348,0.9579630658150514,1.289589697306304,1.0,0.024698000555401278,0.7410094418217162,0.1605630380449875,0.06753332407664538,0.006126770341571786,6.942515967786726e-05,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,17,C1,0.05,SOURCE_TEST,0.9653750926928348,0.9609483476811996,1.403776728686476,1.0,0.02310122188281033,0.7010379061371841,0.14657386836989725,0.10762635379061372,0.021591224659816718,6.942515967786726e-05,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,17,C2,0.05,SOURCE_TEST,0.9653750926928348,0.9546480144404332,1.5779470980283254,1.0,0.02136559289086365,0.642738128297695,0.12737781171896695,0.15483546237156345,0.05246806442654818,0.001214940294362677,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0.05,COMPLETE_TARGET,0.9653750926928348,0.900931565747044,2.0783209423145825,2.0,0.005553565030455034,0.3153999462558223,0.3455862594052311,0.2632568971694733,0.06903887495521319,0.0011644571838050877,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,17,C4,0.05,COMPLETE_TARGET,0.9653750926928348,0.9082878000716589,2.3132165890361875,2.0,0.0018026692941597994,0.19509136510211394,0.3693232712289502,0.35709647079899676,0.07524184879971337,0.0014443747760659262,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,0.05,COMPLETE_TARGET,0.9653750926928348,0.8383979756359727,2.3891862235757793,2.0,0.004568255105696883,0.24226307774991043,0.28738579362235755,0.30402409530634183,0.14871461841633823,0.01304415979935507,89312,99
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,0.1,SOURCE_TEST,0.9149691939810894,0.9103721188558733,1.162142460427659,1.0,0.061423910024993054,0.7637808941960567,0.12878367120244377,0.0432518744793113,0.0027596500971952234,0.0,57616,11
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,0.1,SOURCE_TEST,0.9149691939810894,0.9109795890030548,1.243942654818106,1.0,0.057796445431824495,0.7295716467647876,0.13121355179116911,0.0737989447375729,0.007549986114968064,6.942515967786726e-05,57616,11
