model_family,direction,seed,condition,alpha,population,qhat,coverage,mean_set_size,median_set_size,empty_fraction,size_1_fraction,size_2_fraction,size_3_fraction,size_4_fraction,size_5_fraction,epoch_count,subject_count,primary_cell
B0,D2_ISRUC_TO_SLEEPEDF,17,C4,0.1,COMPLETE_TARGET,0.9350399483797552,0.805654025318042,2.176426218367509,2.0,0.007424794137280371,0.2674516400336417,0.3255510758842397,0.3413573805731141,0.05727526201257468,0.000939847359149414,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B0,D2_ISRUC_TO_SLEEPEDF,17,C5,0.1,COMPLETE_TARGET,0.9350399483797552,0.7942312651068414,2.331869741975752,2.0,0.006195762975315752,0.2752620125746757,0.2963121835545991,0.232460399893002,0.18224604239916523,0.0075235986032422325,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
B0,D2_ISRUC_TO_SLEEPEDF,17,C4,0.05,COMPLETE_TARGET,0.9721573654640037,0.8713662247777502,2.6689447924021774,3.0,0.0016676265962343448,0.1592005031798169,0.24366627225209117,0.37285672629476024,0.2092027925515892,0.01340607912550818,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B0,D2_ISRUC_TO_SLEEPEDF,17,C5,0.05,COMPLETE_TARGET,0.9721573654640037,0.8808707324302766,2.7979545065680873,3.0,0.00133747508802032,0.1648154886844788,0.3004595612599738,0.16177905875491913,0.3111593619641364,0.060449054248471544,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
B0,D2_ISRUC_TO_SLEEPEDF,42,C4,0.1,COMPLETE_TARGET,0.9404154359198005,0.7399659245085682,2.194345974681958,2.0,0.005287243861471319,0.25026448268632473,0.3523078072397165,0.3297635199452479,0.06170941365574114,0.00066753261149843,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B0,D2_ISRUC_TO_SLEEPEDF,42,C5,0.1,COMPLETE_TARGET,0.9404154359198005,0.8425008615267459,2.430404303054986,2.0,0.0035641903696973934,0.2285226804446683,0.33324818476917106,0.2170830511783035,0.20377336665373372,0.013808526584426006,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
B0,D2_ISRUC_TO_SLEEPEDF,42,C4,0.05,COMPLETE_TARGET,0.9757422098583807,0.8127125199717564,2.6815387470147796,3.0,0.001130226696002757,0.1380105600285328,0.2786912505030593,0.35520446499791547,0.2142851978860664,0.012678299888423249,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B0,D2_ISRUC_TO_SLEEPEDF,42,C5,0.05,COMPLETE_TARGET,0.9757422098583807,0.9246868982868269,2.877468003017151,3.0,0.0005783676056304087,0.11755803557442748,0.3464518352327086,0.15181908661295881,0.3064143377329436,0.07717833724133111,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
B0,D2_ISRUC_TO_SLEEPEDF,2026,C4,0.1,COMPLETE_TARGET,0.8982233774689425,0.6498731206065148,2.09217974701237,2.0,0.012314410269880784,0.2788671706497719,0.3543055853441649,0.31342222522116536,0.04101831256431327,7.229595070380108e-05,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B0,D2_ISRUC_TO_SLEEPEDF,2026,C5,0.1,COMPLETE_TARGET,0.8982233774689425,0.8840710331814315,2.5363347398912186,2.0,0.0008289935680702524,0.18200505589681923,0.3661066943640487,0.19013353062094993,0.2529129243471073,0.00801280120300462,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
B0,D2_ISRUC_TO_SLEEPEDF,2026,C4,0.05,COMPLETE_TARGET,0.9466702473770523,0.7296758008583939,2.5145881179195153,3.0,0.00397868715373252,0.19790534532160853,0.2629620614949357,0.35442848846036135,0.17615390361985825,0.0045715139495036885,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B0,D2_ISRUC_TO_SLEEPEDF,2026,C5,0.05,COMPLETE_TARGET,0.9466702473770523,0.9495109178934887,2.992179987998872,3.0,2.1688785211140323e-05,0.07201881622610318,0.35983140584295875,0.1592197821000046,0.321702521441774,0.08720578560394833,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,0.1,COMPLETE_TARGET,0.9167302734485488,0.8173322312217293,2.030475153086676,2.0,0.01724981383792694,0.38148404307874717,0.25297558083771726,0.25226708052082003,0.09387870185390916,0.0021447798708794322,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,0.1,COMPLETE_TARGET,0.9167302734485488,0.7267261260696788,2.2165552907381656,2.0,0.005757167541046026,0.2507247669058056,0.3661042844990252,0.2776766973281827,0.09809355577994076,0.0016435279459997446,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
