experiment,variant,seed,condition,population,prediction_sha256,macro_f1,kappa,balanced_accuracy,nll,temperature,aps_q_0.10,aps_q_0.05,epoch_count,subject_count
D1_SLEEPEDF_TO_ISRUC,B0_W,2026,C3,COMPLETE_TARGET,4a8dd1410f6003bef250db4903fdb747c123a6c5bfdb8d4b2a6392d2ce5c8faa,0.6169479865800069,0.532287999549825,0.598472088580065,1.0421794631459107,1.1033294788627153,0.9998741783148426,0.9999883027160066,87126,99
D1_SLEEPEDF_TO_ISRUC,B0_W,2026,C4,COMPLETE_TARGET,70438bb1bf5e7cf8cbe20281717478d3cf211e8b98cd69f27dc45114f7131051,0.5017196726277001,0.4391216585018779,0.5213221646751915,1.1374495796688315,1.1033294788627153,0.9998741783148426,0.9999883027160066,87126,99
D1_SLEEPEDF_TO_ISRUC,B0_W,2026,C5,COMPLETE_TARGET,756d165d641b4d41198c3cbcfda7cce46a612c982a17b4581a4d731455145118,0.4666919884249463,0.33884197195012633,0.45172172959294105,1.334118064454255,1.1033294788627153,0.9998741783148426,0.9999883027160066,87126,99
D1_SLEEPEDF_TO_ISRUC,B1_W,2026,C0,SOURCE_TEST,84a9c2665f1ed5fef1b097999045d83214483e2e0bcaa4d9e3416ba287056670,0.7491665799609071,0.7143474455135557,0.7543183536392052,0.5327550142687653,1.1033294788627153,0.9998741783148426,0.9999883027160066,22478,11
D1_SLEEPEDF_TO_ISRUC,B1_W,2026,C1,SOURCE_TEST,841d40cd6e8152be789f6885e7cd5d1ec403c01997bba56ea914ff3119f37259,0.7076421627763825,0.6804854222793371,0.7082072787389244,0.5834840077321878,1.1033294788627153,0.9998741783148426,0.9999883027160066,22478,11
D1_SLEEPEDF_TO_ISRUC,B1_W,2026,C2,SOURCE_TEST,d7bc0c6cac33ac64c8021e3bf121489fad1bde2d45bb17dfdd89ea79ae2f8d6c,0.5773539669751148,0.5489045513699451,0.5740120425032484,0.8505635284530507,1.1033294788627153,0.9998741783148426,0.9999883027160066,22478,11
D1_SLEEPEDF_TO_ISRUC,B1_W,2026,C3,COMPLETE_TARGET,2c564b09388a46b150e7a2095a8a96eae40ab97d50a07238d4e80af72fa3b8ed,0.6173691504955182,0.5485460963954856,0.6118047770324242,0.9828885056544676,1.1033294788627153,0.9998741783148426,0.9999883027160066,87126,99
D1_SLEEPEDF_TO_ISRUC,B1_W,2026,C4,COMPLETE_TARGET,4d07dbc7e8131a81f1ac1224394c64dd197fc1aec94cc668f5f78ec187311fa2,0.5719169786304119,0.5026951224900174,0.5784411391274047,1.0321212810630884,1.1033294788627153,0.9998741783148426,0.9999883027160066,87126,99
D1_SLEEPEDF_TO_ISRUC,B1_W,2026,C5,COMPLETE_TARGET,5e582800a04235afc76f8cc1afd6c85c0bd6b8ac2ba244958c8d29550478cce0,0.43305086259365144,0.3602260892423115,0.4493890300330591,1.3684648378882616,1.1033294788627153,0.9998741783148426,0.9999883027160066,87126,99
D2_ISRUC_TO_SLEEPEDF,B0_W,17,C0,SOURCE_TEST,d9269af1f8957e0b71060cdf63ad9666422662a35a54fa9aed0674969817fe0f,0.7365444547904084,0.686368658030204,0.726340844366328,0.6214699928251464,1.086384102496626,0.9966296324383898,0.9989655589773995,12810,15
D2_ISRUC_TO_SLEEPEDF,B0_W,17,C1,SOURCE_TEST,2d527b181907be09bb9a4fc0e7bb99b094eaf3e39930713e75d227d0be453c0d,0.6572803769927872,0.6027780568279519,0.6630643897962247,0.7695631370570272,1.086384102496626,0.9966296324383898,0.9989655589773995,12810,15
D2_ISRUC_TO_SLEEPEDF,B0_W,17,C2,SOURCE_TEST,f6e643823ec7efd77179b5ac9b0863d3bab28792afaf9e38702e52689ce3af1d,0.43137496870735903,0.34616360082852715,0.45850131140311756,1.2313125353310017,1.086384102496626,0.9966296324383898,0.9989655589773995,12810,15
D2_ISRUC_TO_SLEEPEDF,B0_W,17,C3,COMPLETE_TARGET,f2793f70a91e511e33ae0b7551b96fd50cd2d171298504a6981879b096bd75a0,0.5320913447571579,0.4621385613618558,0.6062618316281783,1.3396389910130937,1.086384102496626,0.9966296324383898,0.9989655589773995,195469,78
D2_ISRUC_TO_SLEEPEDF,B0_W,17,C4,COMPLETE_TARGET,71d7f2b64f2989feaede92023ffbc3ddec8ea45aec63167a3873e0e430e469f5,0.4569814644665243,0.3540670103120851,0.5327231231883508,1.4880336669471723,1.086384102496626,0.9966296324383898,0.9989655589773995,195469,78
D2_ISRUC_TO_SLEEPEDF,B0_W,17,C5,COMPLETE_TARGET,d4a8e3cbdd2e4e62c81600812f56f78cea01902e5c91db809c171643bba00024,0.38931087155992833,0.2527174225572487,0.4459462200167031,1.4067567196566726,1.086384102496626,0.9966296324383898,0.9989655589773995,195469,78
D2_ISRUC_TO_SLEEPEDF,B1_W,17,C0,SOURCE_TEST,8f30466d230918a59915ed86c9d825450c43fcca357a1df490ff27c8683e506f,0.7354820152755452,0.6874539992135371,0.7402961684664223,0.6327340912593191,1.086384102496626,0.9966296324383898,0.9989655589773995,12810,15
D2_ISRUC_TO_SLEEPEDF,B1_W,17,C1,SOURCE_TEST,25987e8ff5e89e34b15b05481b05a668f458bbcf98e267bde91b0540f76708bf,0.6670665168977248,0.6165858939959006,0.6847982849108067,0.7448599449558572,1.086384102496626,0.9966296324383898,0.9989655589773995,12810,15
D2_ISRUC_TO_SLEEPEDF,B1_W,17,C2,SOURCE_TEST,012693753fa0b6c378d5b581bb946cd7c68433be9962567fe06af03f469b946b,0.6135125053179846,0.5496799287188526,0.596960420303965,0.9008896204036312,1.086384102496626,0.9966296324383898,0.9989655589773995,12810,15
D2_ISRUC_TO_SLEEPEDF,B1_W,17,C3,COMPLETE_TARGET,187809fafa4382d91f2e0e6d894956405bbef16436a5337f221b4d11b3d71e38,0.518924268203999,0.4751501813122897,0.6136782539134458,1.440189133695236,1.086384102496626,0.9966296324383898,0.9989655589773995,195469,78
D2_ISRUC_TO_SLEEPEDF,B1_W,17,C4,COMPLETE_TARGET,2c151bf8435b3a7ab125466247ee80db16c739186712b0118fee9f10a93e09ca,0.4939159266035812,0.4508167238081122,0.5923790069161996,1.3593673208417676,1.086384102496626,0.9966296324383898,0.9989655589773995,195469,78
D2_ISRUC_TO_SLEEPEDF,B1_W,17,C5,COMPLETE_TARGET,1f04a8175c22f4ca420ebd7a0c01bad22e6d43f8222c5dcdaa400166ef808688,0.3975550645133225,0.2981266936071951,0.48485564601152953,1.671573900935937,1.086384102496626,0.9966296324383898,0.9989655589773995,195469,78
D2_ISRUC_TO_SLEEPEDF,B0_W,42,C0,SOURCE_TEST,d122170d248bb62508094009e8a2fb7bb179f84e38459c8e747838086418fff9,0.7399749782651901,0.681840602334009,0.7349672104584949,0.651374445099858,1.3755444796482637,0.9991011186960079,0.9998597495246303,12810,15
D2_ISRUC_TO_SLEEPEDF,B0_W,42,C1,SOURCE_TEST,9fc172bc66b0ae4e12de13db318ef1782f191ac493aae0d1d2a1558345f23fb2,0.6774411420035974,0.6269244020099103,0.6707329841320341,0.7355563985791356,1.3755444796482637,0.9991011186960079,0.9998597495246303,12810,15
D2_ISRUC_TO_SLEEPEDF,B0_W,42,C2,SOURCE_TEST,4a9b28c0b39fdde54c2abe5ae85fef9a58b92aea2d257206da09b2a3b826e361,0.4774254904148588,0.36844344178925614,0.511351656508466,1.206093384590395,1.3755444796482637,0.9991011186960079,0.9998597495246303,12810,15
D2_ISRUC_TO_SLEEPEDF,B0_W,42,C3,COMPLETE_TARGET,db1fcf6291764b700d502ac46615f5a9163d14c007e53896946417753c3d7f9f,0.5382108021077417,0.46605751615757507,0.60900547767849,1.5598679216391114,1.3755444796482637,0.9991011186960079,0.9998597495246303,195469,78
D2_ISRUC_TO_SLEEPEDF,B0_W,42,C4,COMPLETE_TARGET,87f62cc945c56592e3e2b65aa96e0613d84019da6d8efa0b6a9e3aadd9654cad,0.45227252121040584,0.3532838398370908,0.5191953554177394,1.5652161991462032,1.3755444796482637,0.9991011186960079,0.9998597495246303,195469,78
