experiment,condition,metric,replicate,authoritative_value,engine_value,absolute_error,tolerance,status
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,18,0.510246859391899,0.5101928134221101,5.404596978886289e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,18,0.009581393451290682,0.009580844679695838,5.487715948448296e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,19,0.7603485364567774,0.7603485364567774,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,19,0.9447742727498366,0.9447742727498366,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,19,0.5050927321620756,0.5048576127968813,0.00023511936519426957,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,AURC,19,0.0074485578446216215,0.007447831182501093,7.266621205289162e-07,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,0,0.7111173547400744,0.7111173547400744,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,0,0.5515531734645549,0.5515401172826239,1.305618193103708e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,AURC,0,0.2164804542220423,0.2164779999267341,2.4542953081796437e-06,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,1,0.7240586185512141,0.7240586185512141,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,1,0.5411664133660096,0.5411088816482968,5.753171771272214e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,AURC,1,0.19105613006828956,0.19105463561069866,1.4944575909003888e-06,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,2,0.7147440112992457,0.7147440112992457,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,2,0.5276399372802456,0.5276034170459438,3.6520234301784527e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,AURC,2,0.194967867818429,0.1949657519751907,2.1158432383094894e-06,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,3,0.7339033551020805,0.7339033551020805,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,3,0.5396914139470369,0.5396388827005492,5.2531246487741434e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,AURC,3,0.1780794494038088,0.17807801323091624,1.4361728925549322e-06,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,4,0.7342828190185808,0.7342828190185808,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,4,0.5392248907553021,0.5392133602222132,1.1530533088888184e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,AURC,4,0.17982355695165064,0.17982192686252294,1.630089127707679e-06,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,5,0.7311562991591246,0.7311562991591246,0.0,1e-10,PASS
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,5,0.5413918285221495,0.5413420597772726,4.9768744876943494e-05,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,AURC,5,0.18489761007821345,0.18489580623644863,1.8038417648191807e-06,1e-10,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,6,0.7335650598947067,0.7335650598947067,0.0,1e-10,PASS
