direction,seed,condition,montage,metric,probability_variant,value,subject_count,epoch_count
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.41922273674394345,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_A1A2,NLL,UNCALIBRATED,1.062338237058766,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_A1A2,Brier,UNCALIBRATED,0.5428826805092375,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.7592950027852974,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6541821658639094,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.22326638897626108,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.7028552892573415,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_M1M2,NLL,UNCALIBRATED,0.6575809807361507,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_M1M2,Brier,UNCALIBRATED,0.3577198504944632,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7867229904052968,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5001047573986779,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C1,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.10276740590996221,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.5306825721814563,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_A1A2,NLL,UNCALIBRATED,0.9834363537536274,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_A1A2,Brier,UNCALIBRATED,0.47709704354988147,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.777062706270627,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.5929584065586566,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.15536494311778679,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.639539510837046,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_M1M2,NLL,UNCALIBRATED,0.8537821582330997,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_M1M2,Brier,UNCALIBRATED,0.4460694295848328,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.756898092247394,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5646851821763856,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C2,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.15721359435725057,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.6102418782680195,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_A1A2,NLL,UNCALIBRATED,0.6182705122963775,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_A1A2,Brier,UNCALIBRATED,0.31114028739462296,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.8491430785230822,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.5464605621446146,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.06521449818353976,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.7476478813448763,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_M1M2,NLL,UNCALIBRATED,0.613501063400415,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_M1M2,Brier,UNCALIBRATED,0.3351130849012434,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.8006578863577156,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5078740872828242,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C0,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.08899867216291489,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.4510986951906609,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_A1A2,NLL,UNCALIBRATED,1.0834471848337217,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_A1A2,Brier,UNCALIBRATED,0.5559417054658223,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.7474892761394102,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6357900212333762,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.22824732404110118,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.7012655765898886,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_M1M2,NLL,UNCALIBRATED,0.6817589574976038,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_M1M2,Brier,UNCALIBRATED,0.37310015010254666,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.782471829616236,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5117986015993004,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C1,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.11098841790153278,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.4891329037494755,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_A1A2,NLL,UNCALIBRATED,0.7918191550488594,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_A1A2,Brier,UNCALIBRATED,0.3953506210671678,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.8103403093548146,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.5727965126385903,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.10869692526498637,2,1746
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.6664968625742184,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_M1M2,NLL,UNCALIBRATED,0.8146942254598288,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_M1M2,Brier,UNCALIBRATED,0.43102783142650836,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7416994092491398,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5198832285298888,13,11845
D2_ISRUC_TO_SLEEPEDF,42,C2,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.15236780431238386,13,11845
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.576045576880515,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_A1A2,NLL,UNCALIBRATED,0.627044069633193,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_A1A2,Brier,UNCALIBRATED,0.31722944104538137,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.829300143129067,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.5376189068285009,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.07495352490050633,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.7537340183808763,13,11845
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_M1M2,NLL,UNCALIBRATED,0.5800491178316829,13,11845
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_M1M2,Brier,UNCALIBRATED,0.3151047630088625,13,11845
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.8106679958354001,13,11845
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.49421006765938935,13,11845
D2_ISRUC_TO_SLEEPEDF,2026,C0,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.07874002257910528,13,11845
D2_ISRUC_TO_SLEEPEDF,2026,C1,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.40393532352936806,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C1,ISRUC_A1A2,NLL,UNCALIBRATED,1.518602973709212,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C1,ISRUC_A1A2,Brier,UNCALIBRATED,0.6986608406585746,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C1,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.7082334237720157,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C1,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6946771371043702,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C1,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.3250409664255301,2,1746
D2_ISRUC_TO_SLEEPEDF,2026,C1,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.7069809383104805,13,11845
D2_ISRUC_TO_SLEEPEDF,2026,C1,ISRUC_M1M2,NLL,UNCALIBRATED,0.6609920512594877,13,11845
D2_ISRUC_TO_SLEEPEDF,2026,C1,ISRUC_M1M2,Brier,UNCALIBRATED,0.3571819186436075,13,11845
D2_ISRUC_TO_SLEEPEDF,2026,C1,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7871849448642418,13,11845
