experiment_id,condition,seed,true_stage,predicted_stage,row_normalized_probability,count,analysis_scope
D1_SLEEPEDF_TO_ISRUC,C0,2026,N2,REM,0.0365296803652968,352,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N3,Wake,0.009101251422070534,16,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N3,N1,0.0011376564277588168,2,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N3,N2,0.3225255972696246,567,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N3,N3,0.6666666666666666,1172,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N3,REM,0.0005688282138794084,1,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,REM,Wake,0.0340632603406326,112,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,REM,N1,0.072992700729927,240,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,REM,N2,0.12104622871046229,398,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,REM,N3,0.0009124087591240876,3,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,REM,REM,0.7709854014598541,2535,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,Wake,Wake,0.9864918162098205,40020,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,Wake,N1,0.005743443107868271,233,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,Wake,N2,0.003377045947544863,137,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,Wake,N3,0.0013557483731019523,55,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,Wake,REM,0.003031946361664366,123,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N1,Wake,0.28275570583262893,669,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N1,N1,0.2265426880811496,536,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N1,N2,0.3558748943364328,842,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N1,N3,0.00422654268808115,10,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N1,REM,0.13060016906170752,309,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N2,Wake,0.024283935242839352,234,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N2,N1,0.05614362806143628,541,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N2,N2,0.8534661685346617,8224,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N2,N3,0.026151930261519303,252,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N2,REM,0.03995433789954338,385,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N3,Wake,0.0,0,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N3,N1,0.0011376564277588168,2,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N3,N2,0.3799772468714448,668,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N3,N3,0.6188850967007964,1088,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,N3,REM,0.0,0,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,REM,Wake,0.177007299270073,582,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,REM,N1,0.09154501216545012,301,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,REM,N2,0.23509732360097324,773,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,REM,N3,0.0018248175182481751,6,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,17,REM,REM,0.49452554744525545,1626,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,42,Wake,Wake,0.980575823309012,39780,DESCRIPTIVE_CONFUSION_MIGRATION
