direction,experiment_id,seed,condition,alpha,source_test_epochs,empirical_coverage,coverage_gap_signed,absolute_coverage_gap,qhat,mean_set_size,median_set_size,singleton_fraction,full_set_fraction,empty_set_fraction
D2,D2_ISRUC_TO_SLEEPEDF,17,C1,0.1,13591,0.9913913619306894,-0.09139136193068942,0.09139136193068942,0.9988652814637266,3.295121771760724,4.0,0.12125671400191303,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C1,0.05,13591,0.9933779707159149,-0.04337797071591498,0.04337797071591498,0.9997317739802749,3.6220292840850563,4.0,0.06842763593554559,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C2,0.1,13591,0.9665955411669487,-0.06659554116694866,0.06659554116694866,0.9988652814637266,3.7371054374218233,4.0,0.027665366786844236,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C2,0.05,13591,0.9699065558089912,-0.019906555808991255,0.019906555808991255,0.9997317739802749,3.866676477080421,4.0,0.00956515341034508,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C0,0.1,13591,0.9688028842616437,-0.06880288426164372,0.06880288426164372,0.9990182181892268,2.510190567287175,3.0,0.233684055625046,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C0,0.05,13591,0.9881539253918034,-0.0381539253918034,0.0381539253918034,0.9998281182606624,3.0106688249576927,3.0,0.1523802516371128,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C1,0.1,13591,0.9874181443602384,-0.08741814436023843,0.08741814436023843,0.9990182181892268,3.3682584062982857,4.0,0.1063939371642999,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C1,0.05,13591,0.9924950334780369,-0.04249503347803696,0.04249503347803696,0.9998281182606624,3.7577808844088,4.0,0.047752188948568905,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C2,0.1,13591,0.9734383047605033,-0.07343830476050328,0.07343830476050328,0.9990182181892268,3.7798543153557502,4.0,0.025384445588992714,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C2,0.05,13591,0.9782208814656758,-0.028220881465675807,0.028220881465675807,0.9998281182606624,3.8973585460966818,4.0,0.007578544625119564,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C0,0.1,13591,0.9588698403355161,-0.05886984033551612,0.05886984033551612,0.9951230063346641,2.587447575601501,3.0,0.2816569788830844,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C0,0.05,13591,0.9771907880214848,-0.02719078802148489,0.02719078802148489,0.9982237137460845,2.9534250607019352,3.0,0.2121256714001913,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C1,0.1,13591,0.9770436318151718,-0.07704363181517182,0.07704363181517182,0.9951230063346641,3.075417555735413,4.0,0.1872562725332941,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C1,0.05,13591,0.9886689721138989,-0.03866897211389897,0.03866897211389897,0.9982237137460845,3.399455522036642,4.0,0.12442057243764255,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C2,0.1,13591,0.9695386652932088,-0.06953866529320873,0.06953866529320873,0.9951230063346641,3.9110440732837906,4.0,0.007946435140902068,0.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C2,0.05,13591,0.9714516959752778,-0.02145169597527785,0.02145169597527785,0.9982237137460845,3.978073725259363,4.0,0.0009565153410345082,0.0,0.0
