direction,experiment_id,seed,condition,alpha,coverage,mean_set_size,median_set_size,p_set_size_1,p_set_size_2,p_set_size_3,p_set_size_4,p_set_size_5
D1,D1_SLEEPEDF_TO_ISRUC,2026,C1,0.05,0.998437933907248,3.97721119133574,4.0,0.0,0.003367120244376562,0.016054568175506805,0.9805783115801167,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C2,0.10,0.994237711746737,4.0,4.0,0.0,0.0,0.0,1.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C2,0.10,0.994237711746737,4.0,4.0,0.0,0.0,0.0,1.0,0.0
D1,D1_SLEEPEDF_TO_ISRUC,2026,C2,0.05,0.994237711746737,4.0,4.0,0.0,0.0,0.0,1.0,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C0,0.10,0.9691707747774262,2.497167243028475,3.0,0.2844529468030314,0.15171804870870428,0.34603781914502246,0.21779118534324185,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C0,0.10,0.9691707747774262,2.497167243028475,3.0,0.2844529468030314,0.15171804870870428,0.34603781914502246,0.21779118534324185,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C0,0.05,0.9859465822971084,2.916415274814215,3.0,0.2102862188212788,0.1059524685453609,0.24082113163122654,0.4429401810021338,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C1,0.10,0.9913913619306894,3.295121771760724,4.0,0.12125671400191303,0.0712971819586491,0.19851372231623868,0.6089323817231992,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C1,0.10,0.9913913619306894,3.295121771760724,4.0,0.12125671400191303,0.0712971819586491,0.19851372231623868,0.6089323817231992,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C1,0.05,0.9933779707159149,3.6220292840850563,4.0,0.06842763593554559,0.04341108086233537,0.08586564638363622,0.8022956368184828,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C2,0.10,0.9665955411669487,3.7371054374218233,4.0,0.027665366786844236,0.026340960930027225,0.12721654035758959,0.8187771319255389,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C2,0.10,0.9665955411669487,3.7371054374218233,4.0,0.027665366786844236,0.026340960930027225,0.12721654035758959,0.8187771319255389,0.0
D2,D2_ISRUC_TO_SLEEPEDF,17,C2,0.05,0.9699065558089912,3.866676477080421,4.0,0.00956515341034508,0.008976528585093076,0.08667500551835773,0.8947833124862041,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C0,0.10,0.9688028842616437,2.510190567287175,3.0,0.233684055625046,0.18379810168493857,0.4211610624678096,0.16135678022220587,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C0,0.10,0.9688028842616437,2.510190567287175,3.0,0.233684055625046,0.18379810168493857,0.4211610624678096,0.16135678022220587,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C0,0.05,0.9881539253918034,3.0106688249576927,3.0,0.1523802516371128,0.10470164079170038,0.32278713854756824,0.4201309690236186,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C1,0.10,0.9874181443602384,3.3682584062982857,4.0,0.1063939371642999,0.051063203590611436,0.2104333750275918,0.6321094842174969,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C1,0.10,0.9874181443602384,3.3682584062982857,4.0,0.1063939371642999,0.051063203590611436,0.2104333750275918,0.6321094842174969,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C1,0.05,0.9924950334780369,3.7577808844088,4.0,0.047752188948568905,0.02030755647119417,0.058347435803104995,0.8735928187771319,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C2,0.10,0.9734383047605033,3.7798543153557502,4.0,0.025384445588992714,0.01883599440806416,0.1063203590611434,0.8494592009417997,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C2,0.10,0.9734383047605033,3.7798543153557502,4.0,0.025384445588992714,0.01883599440806416,0.1063203590611434,0.8494592009417997,0.0
D2,D2_ISRUC_TO_SLEEPEDF,42,C2,0.05,0.9782208814656758,3.8973585460966818,4.0,0.007578544625119564,0.00956515341034508,0.06077551320726952,0.9220807887572658,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C0,0.10,0.9588698403355161,2.587447575601501,3.0,0.2816569788830844,0.10860128025899492,0.35037892723125597,0.2593628136266647,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C0,0.10,0.9588698403355161,2.587447575601501,3.0,0.2816569788830844,0.10860128025899492,0.35037892723125597,0.2593628136266647,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C0,0.05,0.9771907880214848,2.9534250607019352,3.0,0.2121256714001913,0.08792583327201825,0.23434625855345448,0.46560223677433593,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C1,0.10,0.9770436318151718,3.075417555735413,4.0,0.1872562725332941,0.06717680818188507,0.22846001030093444,0.5171069089838864,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C1,0.10,0.9770436318151718,3.075417555735413,4.0,0.1872562725332941,0.06717680818188507,0.22846001030093444,0.5171069089838864,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C1,0.05,0.9886689721138989,3.399455522036642,4.0,0.12442057243764255,0.048635126186446914,0.1300125082775366,0.6969317930983739,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C2,0.10,0.9695386652932088,3.9110440732837906,4.0,0.007946435140902068,0.010448090648223088,0.044220439997056875,0.9373850342138179,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C2,0.10,0.9695386652932088,3.9110440732837906,4.0,0.007946435140902068,0.010448090648223088,0.044220439997056875,0.9373850342138179,0.0
D2,D2_ISRUC_TO_SLEEPEDF,2026,C2,0.05,0.9714516959752778,3.978073725259363,4.0,0.0009565153410345082,0.004341108086233537,0.010374512545066588,0.9843278640276654,0.0
