model,experiment_id,seed,condition,metric,value,probability_variant
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,gap_0.1,-0.09932310469314076,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,coverage_0.05,0.9993231046931408,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,gap_0.05,-0.04932310469314083,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,macro-F1,0.650164044376553,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,NLL,0.3288125909626381,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,Brier,0.17045573820630902,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,ERROR_AUROC,0.9174753058325424,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,ERROR_AUPRC,0.5319141502878659,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,AURC,0.018396370661091708,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,coverage_0.1,0.997951957789503,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,gap_0.1,-0.09795195778950294,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,coverage_0.05,0.997951957789503,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C2,gap_0.05,-0.04795195778950301,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,macro-F1,0.6238635589204141,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,NLL,0.877654547822043,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,Brier,0.45301275257003243,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,ERROR_AUROC,0.7328825415144178,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,ERROR_AUPRC,0.5322718829450586,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,AURC,0.1709398064401736,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,coverage_0.1,0.9896094589752776,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C3,gap_0.1,-0.08960945897527761,UNCALIBRATED
