experiment_id,condition,seed,replicate,metric,draw_sha256,subject_count,H_historical,L_literal,E_exact,A_artifact,H_minus_L,L_minus_E,H_minus_A,status
D1_SLEEPEDF_TO_ISRUC,C0,17,16,AURC,b265a789ad2e918d76ec89c91e6fc94285951ee5937994b0dca1512b6341009a,11,0.007820014653673737,0.00781967089822335,0.007819670898255438,0.007932456111663709,3.437554503861462e-07,-3.2087180135143e-14,-0.00011244145798997192,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,17,ERROR_AUROC,1b16737a8372f654dafa3a8fdd8dbb9a6578b8b35dbb5f7918063d0d75c71d54,11,0.9436137777578153,0.9436137777578153,0.9436137777578153,0.9438149677435114,0.0,0.0,-0.00020118998569607083,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,17,ERROR_AUPRC,1b16737a8372f654dafa3a8fdd8dbb9a6578b8b35dbb5f7918063d0d75c71d54,11,0.5100769708124809,0.5099069168129,0.5099069168128989,0.505458807960462,0.00017005399958092138,1.1102230246251565e-15,0.004618162852018881,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,17,AURC,1b16737a8372f654dafa3a8fdd8dbb9a6578b8b35dbb5f7918063d0d75c71d54,11,0.007663977157912561,0.007663474740421996,0.007663474740477878,0.007530299248604097,5.024174905650033e-07,-5.5881514693378875e-14,0.00013367790930846404,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,18,ERROR_AUROC,6127dad6aae2299ff1e017d67e71309890ea03e3781c264432f1287e3d1dd1b0,11,0.9369089457530055,0.9369089457530055,0.9369089457530055,0.9381875036545037,0.0,0.0,-0.0012785579014981119,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,18,ERROR_AUPRC,6127dad6aae2299ff1e017d67e71309890ea03e3781c264432f1287e3d1dd1b0,11,0.505662507887269,0.5055455491568647,0.5055455491568649,0.510246859391899,0.00011695873040429294,-2.220446049250313e-16,-0.004584351504629991,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,18,AURC,6127dad6aae2299ff1e017d67e71309890ea03e3781c264432f1287e3d1dd1b0,11,0.009739285730772639,0.009738727751221738,0.009738727751234619,0.009581393451290682,5.579795509004504e-07,-1.2880321809127793e-14,0.00015789227948195643,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,19,ERROR_AUROC,5c58cc7e3d44a32f5f0fb2faa60fd473596b1fae6e72531dfb3df2428e4cd53f,11,0.9440108958001366,0.9440108958001366,0.9440108958001366,0.9447742727498366,0.0,0.0,-0.0007633769496999676,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,19,ERROR_AUPRC,5c58cc7e3d44a32f5f0fb2faa60fd473596b1fae6e72531dfb3df2428e4cd53f,11,0.5028891482671748,0.5027294679115291,0.5027294679115294,0.5050927321620756,0.00015968035564573047,-3.3306690738754696e-16,-0.002203583894900829,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,19,AURC,5c58cc7e3d44a32f5f0fb2faa60fd473596b1fae6e72531dfb3df2428e4cd53f,11,0.007493460306248999,0.007492758181230736,0.007492758181265246,0.0074485578446216215,7.021250182630973e-07,-3.45105888310826e-14,4.490246162737726e-05,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,17,0,ERROR_AUROC,510234bbe2244977c9684b04fdaf49278384d43f10084ba96d1e8b935f299599,99,0.7169157542109684,0.7169157542109684,0.7169157542109684,0.7111173547400744,0.0,0.0,0.005798399470894,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,17,0,ERROR_AUPRC,510234bbe2244977c9684b04fdaf49278384d43f10084ba96d1e8b935f299599,99,0.5545507769727591,0.5545205208312419,0.5545205208312369,0.5515531734645549,3.0256141517193136e-05,4.9960036108132044e-15,0.0029976035082042163,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,17,0,AURC,510234bbe2244977c9684b04fdaf49278384d43f10084ba96d1e8b935f299599,99,0.20904347887808808,0.20904089221314717,0.20904089221319,0.2164804542220423,2.5866649409067577e-06,-4.2826853174915414e-14,-0.007436975343954211,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,17,1,ERROR_AUROC,b46e191a74644c5cab804dc90e6314954efc3b73baba60ffe2728de5db2baa3c,99,0.7301341011312832,0.7301341011312832,0.7301341011312832,0.7240586185512141,0.0,0.0,0.006075482580069069,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,17,1,ERROR_AUPRC,b46e191a74644c5cab804dc90e6314954efc3b73baba60ffe2728de5db2baa3c,99,0.5442015798247055,0.5441474814239909,0.5441474814239936,0.5411664133660096,5.409840071457506e-05,-2.6645352591003757e-15,0.003035166458695948,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,17,1,AURC,b46e191a74644c5cab804dc90e6314954efc3b73baba60ffe2728de5db2baa3c,99,0.1841610923238617,0.18415952634034718,0.18415952634034044,0.19105613006828956,1.565983514528746e-06,6.744604874597826e-15,-0.0068950377444278454,FAIL
D1_SLEEPEDF_TO_ISRUC,C3,17,2,ERROR_AUROC,777e0718244b9b44e5324504dab1215150a225dd393b3b9f8cc17f468e020d50,99,0.7243862510053523,0.7243862510053523,0.7243862510053523,0.7147440112992457,0.0,0.0,0.009642239706106559,FAIL
