experiment_id,seed,condition,variant,metric,value,ci95_low,ci95_high,bootstrap_replicates,oracle_evaluation_subject_count,oracle_evaluation_epoch_count,analysis_scope
D1_SLEEPEDF_TO_ISRUC,17,C5,UNCALIBRATED,ECE,0.3254280308355913,0.30011672550050134,0.3506957812763804,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,UNCALIBRATED,adaptive_ECE,0.3254280308355913,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,UNCALIBRATED,error_AUROC,0.5842449293548151,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,UNCALIBRATED,error_AUPRC,0.7446317007216317,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,UNCALIBRATED,AURC,0.6269854886851937,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,UNCALIBRATED,macro-F1,0.257654772840555,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,SOURCE_TEMPERATURE_SCALED,NLL,1.6581796813026308,1.5865980058312013,1.7385254875068081,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,SOURCE_TEMPERATURE_SCALED,Brier,0.8425446336595348,0.8162436027115629,0.8698337555578999,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,SOURCE_TEMPERATURE_SCALED,ECE,0.2616060403778879,0.23692832722998566,0.28618748770762564,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,SOURCE_TEMPERATURE_SCALED,adaptive_ECE,0.2616060403778879,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,SOURCE_TEMPERATURE_SCALED,error_AUROC,0.5878852982017316,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,SOURCE_TEMPERATURE_SCALED,error_AUPRC,0.7460579584175329,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,SOURCE_TEMPERATURE_SCALED,AURC,0.6248302728730026,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,SOURCE_TEMPERATURE_SCALED,macro-F1,0.257654772840555,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_DOMAIN_TEMPERATURE,NLL,1.5268977780189112,1.474560029729443,1.5847966275772283,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_DOMAIN_TEMPERATURE,Brier,0.7890770512364271,0.7679219645674037,0.8115284109621664,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_DOMAIN_TEMPERATURE,ECE,0.18267672383759015,0.15815131658514126,0.2068905735723453,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_DOMAIN_TEMPERATURE,adaptive_ECE,0.18267672383759018,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_DOMAIN_TEMPERATURE,error_AUROC,0.5897240032295117,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_DOMAIN_TEMPERATURE,error_AUPRC,0.7466977530251415,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_DOMAIN_TEMPERATURE,AURC,0.6238201666882448,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_DOMAIN_TEMPERATURE,macro-F1,0.257654772840555,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_CONDITION_TEMPERATURE,NLL,1.4632879244421795,1.4287832929863915,1.5001129724074995,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_CONDITION_TEMPERATURE,Brier,0.7517648400155136,0.736757837726209,0.767086046815807,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_CONDITION_TEMPERATURE,ECE,0.08470897067038868,0.061431414723269934,0.10824154431160528,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_CONDITION_TEMPERATURE,adaptive_ECE,0.08469275081199412,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_CONDITION_TEMPERATURE,error_AUROC,0.5880644597257989,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_CONDITION_TEMPERATURE,error_AUPRC,0.7459368194026619,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_CONDITION_TEMPERATURE,AURC,0.62532791215622,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,ORACLE_CONDITION_TEMPERATURE,macro-F1,0.257654772840555,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,UNCALIBRATED,NLL,1.0534093522011891,0.9703316319293689,1.149519347417498,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,UNCALIBRATED,Brier,0.5002376697279896,0.472164566479351,0.5311081028341084,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,UNCALIBRATED,ECE,0.12767811278187718,0.11322757214730719,0.14338770683836283,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,UNCALIBRATED,adaptive_ECE,0.12721993349862662,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,UNCALIBRATED,error_AUROC,0.7209332168850158,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,UNCALIBRATED,error_AUPRC,0.5358593726935408,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,UNCALIBRATED,AURC,0.18971635435143738,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,UNCALIBRATED,macro-F1,0.5892634171907247,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,SOURCE_TEMPERATURE_SCALED,NLL,0.9558885928808678,0.8889721352861807,1.0344178707707157,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,SOURCE_TEMPERATURE_SCALED,Brier,0.4822899193537831,0.4557868124320712,0.5114780302732512,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,SOURCE_TEMPERATURE_SCALED,ECE,0.07454496868093005,0.061234691858938727,0.08994415951164789,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,SOURCE_TEMPERATURE_SCALED,adaptive_ECE,0.0750218178865778,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,SOURCE_TEMPERATURE_SCALED,error_AUROC,0.7190731102221068,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,SOURCE_TEMPERATURE_SCALED,error_AUPRC,0.531442824804982,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,SOURCE_TEMPERATURE_SCALED,AURC,0.18973250113249784,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,SOURCE_TEMPERATURE_SCALED,macro-F1,0.5892634171907247,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_DOMAIN_TEMPERATURE,NLL,0.9173771922787203,0.8613869227155024,0.9825990719478952,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_DOMAIN_TEMPERATURE,Brier,0.4737498454904634,0.4497915018225897,0.49981886074191273,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_DOMAIN_TEMPERATURE,ECE,0.03360268003380711,0.02375372111924948,0.04556195238304522,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_DOMAIN_TEMPERATURE,adaptive_ECE,0.03482594803009787,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_DOMAIN_TEMPERATURE,error_AUROC,0.7159063186893354,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_DOMAIN_TEMPERATURE,error_AUPRC,0.5249571723226746,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_DOMAIN_TEMPERATURE,AURC,0.1901748619521629,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_DOMAIN_TEMPERATURE,macro-F1,0.5892634171907247,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_CONDITION_TEMPERATURE,NLL,0.9173771922787203,0.8613869227155024,0.9825990719478952,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_CONDITION_TEMPERATURE,Brier,0.4737498454904634,0.4497915018225897,0.49981886074191273,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_CONDITION_TEMPERATURE,ECE,0.03360268003380711,0.02375372111924948,0.04556195238304522,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C3,ORACLE_CONDITION_TEMPERATURE,adaptive_ECE,0.03482594803009787,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
