experiment_id,seed,condition,variant,alpha,qhat,empirical_coverage,signed_coverage_gap,absolute_coverage_error,mean_set_size,median_set_size,singleton_fraction,analysis_scope
D1_SLEEPEDF_TO_ISRUC,2026,C4,SOURCE_APS,0.05,0.9999999953148415,0.9685511876649535,-0.01855118766495356,0.01855118766495356,4.0,4.0,0.0,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C4,ORACLE_DOMAIN_APS,0.1,0.9988767934840816,0.9600916793999167,-0.060091679399916664,0.060091679399916664,3.434338102514238,4.0,0.010737602444783998,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C4,ORACLE_DOMAIN_APS,0.05,0.9997648824020327,0.9678149743019864,-0.01781497430198642,0.01781497430198642,3.781608556743992,4.0,0.0010695929990276428,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C4,ORACLE_CONDITION_APS,0.1,0.9932400255645815,0.9051951659952772,-0.00519516599527714,0.00519516599527714,2.7246562022503125,3.0,0.09945825809140159,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C4,ORACLE_CONDITION_APS,0.05,0.9978480972051162,0.9490068065009029,0.0009931934990971003,0.0009931934990971003,3.2180025003472705,3.0,0.02840672315599389,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C5,SOURCE_APS,0.1,0.9999999720826965,0.939519377691346,-0.03951937769134595,0.03951937769134595,4.0,4.0,0.0,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C5,SOURCE_APS,0.05,0.9999999953148415,0.939519377691346,0.010480622308653986,0.010480622308653986,4.0,4.0,0.0,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C5,ORACLE_DOMAIN_APS,0.1,0.9988767934840816,0.9343242116960689,-0.03432421169606892,0.03432421169606892,3.9005556327267676,4.0,0.012737880261147382,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C5,ORACLE_DOMAIN_APS,0.05,0.9997648824020327,0.9386025836921794,0.01139741630782054,0.01139741630782054,3.9666481455757743,4.0,0.0035838310876510626,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C5,ORACLE_CONDITION_APS,0.1,0.9923222982733791,0.8896652312821225,0.01033476871787753,0.01033476871787753,3.471287678844284,4.0,0.03896374496457841,ORACLE_TARGET_UPPER_BOUND
