direction,seed,condition,montage,metric,probability_variant,value,subject_count,epoch_count,analysis_scope,interpretation
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5274844541193033,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.1663152688049593,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.4086713870142634,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,NLL,UNCALIBRATED,1.422199001295629,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,Brier,UNCALIBRATED,0.6867740541983924,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.6638651453490433,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6369299539321496,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.3596650963595085,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.5188935376520583,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,NLL,UNCALIBRATED,1.0574543213283374,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
