experiment_id,seed,condition,true_class,predicted_class,count,prediction_hash
D1_SLEEPEDF_TO_ISRUC,17,C2,3,2,1005,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,3,3,617,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,3,4,10,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,4,0,299,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,4,1,490,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,4,2,288,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,4,3,0,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C2,4,4,2211,b4a75bddec9e6d43fd100bda032e082dd6f654ceffd98f9f8ec6114555285286
D1_SLEEPEDF_TO_ISRUC,17,C3,0,0,18051,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,0,1,1720,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,0,2,207,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,0,3,6,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,0,4,441,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,1,0,2614,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,1,1,4570,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,1,2,2712,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,1,3,15,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,1,4,1579,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,2,0,1532,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,2,1,2866,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,2,2,21206,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,2,3,257,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,2,4,2334,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,3,0,151,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,3,1,409,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,3,2,8126,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,3,3,8447,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
D1_SLEEPEDF_TO_ISRUC,17,C3,3,4,149,7cb3f54f8fff0eb60f0c936c4da9a535bcb125c9d2cd34edc60b4dd34a503a4a
