experiment_id,condition,replicate,metric,H_seed17,H_seed42,H_seed2026,H_mean,A_artifact,H_mean_minus_A
D2_ISRUC_TO_SLEEPEDF,C0,0,ERROR_AUPRC,0.49563739172137555,0.5002173903522935,0.4764888250932381,0.49078120238896905,0.49078120238896866,3.885780586188048e-16
D2_ISRUC_TO_SLEEPEDF,C0,0,AURC,0.07761390669219609,0.0810373204263877,0.0804868996658773,0.0797127089281537,0.07971270892815364,5.551115123125783e-17
D2_ISRUC_TO_SLEEPEDF,C0,1,ERROR_AUROC,0.8156312709072784,0.8047591795764681,0.7861215903979062,0.8021706802938843,0.8021706802938843,0.0
D2_ISRUC_TO_SLEEPEDF,C0,1,ERROR_AUPRC,0.5038542507599505,0.49708177083516913,0.4728919683494817,0.4912759966482005,0.49127599664820115,-6.661338147750939e-16
D2_ISRUC_TO_SLEEPEDF,C0,1,AURC,0.07415470921527391,0.0832473601212182,0.08506536971445917,0.08082247968365042,0.08082247968365054,-1.249000902703301e-16
D2_ISRUC_TO_SLEEPEDF,C0,2,ERROR_AUROC,0.8011636589868525,0.7950037738978697,0.7594022641257392,0.7851898990034871,0.7851898990034871,0.0
D2_ISRUC_TO_SLEEPEDF,C0,2,ERROR_AUPRC,0.5276655389018111,0.5342844839188534,0.49640638828862604,0.5194521370364301,0.5194521370364305,-3.3306690738754696e-16
D2_ISRUC_TO_SLEEPEDF,C0,2,AURC,0.09326988290324731,0.10427591810321284,0.11749277347405376,0.1050128581601713,0.10501285816017154,-2.498001805406602e-16
D2_ISRUC_TO_SLEEPEDF,C3,0,ERROR_AUROC,0.7629171036061976,0.765411630204785,0.7148080332679427,0.7477122556929752,0.7477122556929752,0.0
D2_ISRUC_TO_SLEEPEDF,C3,0,ERROR_AUPRC,0.5284555807060645,0.560295373659193,0.5411570266545345,0.5433026603399307,0.5433026603399332,-2.55351295663786e-15
D2_ISRUC_TO_SLEEPEDF,C3,0,AURC,0.1379493635109115,0.1500245232966588,0.1965356561793853,0.16150318099565186,0.16150318099565317,-1.304512053934559e-15
D2_ISRUC_TO_SLEEPEDF,C3,1,ERROR_AUROC,0.7667381719448572,0.756697079842105,0.7016293460431977,0.7416881992767199,0.7416881992767199,0.0
D2_ISRUC_TO_SLEEPEDF,C3,1,ERROR_AUPRC,0.5248687494746924,0.5541955719932199,0.5363859967929796,0.5384834394202973,0.5384834394202972,1.1102230246251565e-16
D2_ISRUC_TO_SLEEPEDF,C3,1,AURC,0.13006018086397242,0.1573590194014398,0.21219608182376937,0.16653842736306054,0.1665384273630594,1.1379786002407855e-15
D2_ISRUC_TO_SLEEPEDF,C3,2,ERROR_AUROC,0.7786936552696726,0.7690040640567612,0.7161153407646857,0.7546043533637065,0.7546043533637065,0.0
D2_ISRUC_TO_SLEEPEDF,C3,2,ERROR_AUPRC,0.5245905293254414,0.5533274225878831,0.5387711568850979,0.5388963695994741,0.5388963695994712,2.886579864025407e-15
D2_ISRUC_TO_SLEEPEDF,C3,2,AURC,0.11738890701639496,0.1418714194295005,0.19325617094151037,0.15083883246246862,0.1508388324624688,-1.6653345369377348e-16
