model,experiment,seed,condition,replicate,metric,optimized_value,literal_value,absolute_error,tolerance,pass_
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,7,ERROR_AUROC,0.9431928108581026,0.9431928108581026,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,7,ERROR_AUPRC,0.48564430216019555,0.4856443021601949,6.661338147750939e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,7,AURC,0.006991428388720764,0.0069914283887207345,2.949029909160572e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,7,coverage,0.9996198095741867,0.9996198095741867,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,7,mean_set_size,2.4868090452261304,2.4868090452261304,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,8,macro-F1,0.7580095858279869,0.7580095858279869,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,8,NLL,0.2143460645830397,0.2143460645830397,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,8,Brier,0.11481909580726363,0.11481909580726361,1.3877787807814457e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,8,ECE,0.012842800143221393,0.012842800143221578,1.8561541192951836e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,8,ERROR_AUROC,0.9398148848157317,0.9398148848157317,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,8,ERROR_AUPRC,0.5033909884304729,0.5033909884304726,3.3306690738754696e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,8,AURC,0.008585415102484248,0.008585415102484246,1.734723475976807e-18,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,8,coverage,0.9993607072404471,0.9993607072404471,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,8,mean_set_size,2.64007817637174,2.64007817637174,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,9,macro-F1,0.7270367778694709,0.7270367778694709,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,9,NLL,0.2480559647689886,0.24805596476898858,2.7755575615628914e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,9,Brier,0.13234715042741427,0.13234715042741424,2.7755575615628914e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,9,ECE,0.01679260200496964,0.016792602004969657,1.734723475976807e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,9,ERROR_AUROC,0.9351406928722291,0.9351406928722291,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,9,ERROR_AUPRC,0.5204689186196889,0.5204689186196887,2.220446049250313e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,9,AURC,0.01108592955385247,0.011085929553852495,2.42861286636753e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,9,coverage,0.9988192839206426,0.9988192839206426,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,9,mean_set_size,2.4667154474248747,2.4667154474248747,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,10,macro-F1,0.7587512751660535,0.7587512751660535,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,10,NLL,0.208622357000133,0.208622357000133,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,10,Brier,0.11313844914045243,0.11313844914045242,1.3877787807814457e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,10,ECE,0.010011024838330038,0.010011024838330038,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,10,ERROR_AUROC,0.9411489239483274,0.9411489239483274,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,10,ERROR_AUPRC,0.5032549124515003,0.5032549124515007,3.3306690738754696e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,10,AURC,0.008401484480696407,0.008401484480696393,1.3877787807814457e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,10,coverage,0.9994367897012973,0.9994367897012973,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,10,mean_set_size,2.54170773408428,2.54170773408428,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,11,macro-F1,0.7704981917490207,0.7704981917490207,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,11,NLL,0.21531552030254283,0.21531552030254283,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,11,Brier,0.11257404280425433,0.11257404280425432,1.3877787807814457e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,11,ECE,0.010348133691666376,0.010348133691666202,1.734723475976807e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,11,ERROR_AUROC,0.9425946902759844,0.9425946902759844,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,11,ERROR_AUPRC,0.5083740908767357,0.5083740908767361,4.440892098500626e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,11,AURC,0.0078888208666264,0.007888820866626406,5.204170427930421e-18,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,11,coverage,0.99914833926156,0.99914833926156,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,11,mean_set_size,2.4943974082794784,2.4943974082794784,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,12,macro-F1,0.7590700747295107,0.7590700747295107,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,12,NLL,0.23859591048563777,0.2385959104856378,2.7755575615628914e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,12,Brier,0.12446593571470001,0.12446593571470002,1.3877787807814457e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,12,ECE,0.012937661400030191,0.012937661400030285,9.367506770274758e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,12,ERROR_AUROC,0.9359355089538169,0.9359355089538169,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,12,ERROR_AUPRC,0.5081695292241477,0.5081695292241474,3.3306690738754696e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,12,AURC,0.009844319919310294,0.009844319919310342,4.85722573273506e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,12,coverage,0.9989693292328152,0.9989693292328152,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,12,mean_set_size,2.5720056520654975,2.5720056520654975,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,13,macro-F1,0.7528658431301174,0.7528658431301174,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,13,NLL,0.207899746217172,0.207899746217172,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,13,Brier,0.1137639111105747,0.1137639111105747,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,13,ECE,0.01274677370978978,0.012746773709789858,7.806255641895632e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,13,ERROR_AUROC,0.9403059488057111,0.9403059488057111,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,13,ERROR_AUPRC,0.5012088419905558,0.5012088419905558,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,13,AURC,0.008567771565380215,0.008567771565380225,1.0408340855860843e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,13,coverage,0.9993600940834645,0.9993600940834645,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,13,mean_set_size,2.52665986406323,2.52665986406323,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,14,macro-F1,0.756292341256845,0.756292341256845,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,14,NLL,0.21987707358746833,0.21987707358746833,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,14,Brier,0.11780996550837738,0.11780996550837737,1.3877787807814457e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,14,ECE,0.011194504012610858,0.011194504012610866,8.673617379884035e-18,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,14,ERROR_AUROC,0.9401672191419828,0.9401672191419828,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,14,ERROR_AUPRC,0.5101107774936641,0.5101107774936647,6.661338147750939e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,14,AURC,0.008860489920066703,0.008860489920066711,8.673617379884035e-18,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,14,coverage,0.9991810562631771,0.9991810562631771,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,14,mean_set_size,2.4483281350734436,2.4483281350734436,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,15,macro-F1,0.7571378501764489,0.7571378501764489,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,15,NLL,0.2408019659839635,0.2408019659839635,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,15,Brier,0.12996509613118168,0.12996509613118168,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,15,ECE,0.01467137000592701,0.01467137000592701,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,15,ERROR_AUROC,0.9345578516401596,0.9345578516401596,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,15,ERROR_AUPRC,0.5134566646804235,0.5134566646804261,2.55351295663786e-15,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,15,AURC,0.010930387228391882,0.010930387228391892,1.0408340855860843e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,15,coverage,0.9990892682684506,0.9990892682684506,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,15,mean_set_size,2.5628487688562864,2.5628487688562864,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,16,macro-F1,0.7826819963415448,0.7826819963415448,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,16,NLL,0.1958282098317321,0.1958282098317321,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,16,Brier,0.10788402976258794,0.10788402976258793,1.3877787807814457e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,16,ECE,0.008413212899131491,0.008413212899131326,1.6479873021779667e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,16,ERROR_AUROC,0.9418036163637332,0.9418036163637332,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,16,ERROR_AUPRC,0.4915449569854511,0.4915449569854513,2.220446049250313e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,16,AURC,0.00776728918561944,0.007767289185619439,8.673617379884035e-19,1e-12,True
