experiment,condition,metric,v1_1_point,v1_2_point,point_delta,v1_1_ci_low,v1_1_ci_high,v1_2_ci_low,v1_2_ci_high,ci_low_delta,ci_high_delta,repair_scope,expected_change,status
D2_ISRUC_TO_SLEEPEDF,C1,ERROR_AUROC,0.7814018490334104,0.7814018490334104,0.0,0.7529303306712702,0.8096531255151906,0.7529303306712702,0.8096531255151906,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C1,ERROR_AUPRC,0.568172874190926,0.568172874190926,0.0,0.5090676759430636,0.6320378191130416,0.5089600124781362,0.6317915395214427,-0.00010766346492740997,-0.0002462795915988414,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D2_ISRUC_TO_SLEEPEDF,C1,AURC,0.13441528842298545,0.13441528842298545,0.0,0.1063507036187902,0.16873642734624314,0.1063419000145555,0.16872398201821584,-8.803604234705609e-06,-1.2445328027299585e-05,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D2_ISRUC_TO_SLEEPEDF,C1,coverage_0.1,0.9852843793687,0.9852843793687,0.0,0.9760878850970074,0.9927460065154312,0.9760878850970074,0.9927460065154312,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C1,gap_0.1,-0.08528437936869988,-0.08528437936869988,0.0,-0.09274600651543125,-0.0760878850970073,-0.09274600651543125,-0.0760878850970073,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C1,coverage_0.05,0.9915139921026169,0.9915139921026169,0.0,0.9849125374266315,0.9962898793658355,0.9849125374266315,0.9962898793658355,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C1,gap_0.05,-0.04151399210261697,-0.04151399210261697,0.0,-0.04628987936583541,-0.03491253742663152,-0.04628987936583541,-0.03491253742663152,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C2,macro-F1,0.4847806745234773,0.4847806745234773,0.0,0.4259315313424904,0.534189541999739,0.4259315313424904,0.534189541999739,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C2,NLL,1.1879795139937463,1.1879795139937463,0.0,1.0871745175242544,1.2892523435176677,1.0871745175242544,1.2892523435176677,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C2,Brier,0.6179258766475363,0.6179258766475363,0.0,0.5662701496202813,0.6687943725758576,0.5662701496202813,0.6687943725758576,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C2,ERROR_AUROC,0.6775801450359854,0.6775801450359854,0.0,0.6411716430176875,0.7133459829589912,0.6411716430176875,0.7133459829589912,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C2,ERROR_AUPRC,0.6167651117840759,0.6167651117840759,0.0,0.5725550639807812,0.669437826747372,0.5724094885330517,0.6693188070533019,-0.000145575447729418,-0.00011901969407002166,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D2_ISRUC_TO_SLEEPEDF,C2,AURC,0.32971057735423065,0.32971057735423065,0.0,0.2725896304642298,0.391820284624523,0.2725745802478486,0.3917951509507353,-1.5050216381207182e-05,-2.5133673787702815e-05,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D2_ISRUC_TO_SLEEPEDF,C2,coverage_0.1,0.9698575037402203,0.9698575037402203,0.0,0.9598079464265837,0.9789582707008151,0.9598079464265837,0.9789582707008151,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C2,gap_0.1,-0.06985750374022022,-0.06985750374022022,0.0,-0.07895827070081496,-0.0598079464265836,-0.07895827070081496,-0.0598079464265836,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C2,coverage_0.05,0.9731930444166483,0.9731930444166483,0.0,0.9637860627135506,0.9817984585681044,0.9637860627135506,0.9817984585681044,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C2,gap_0.05,-0.023193044416648306,-0.023193044416648306,0.0,-0.03179845856810451,-0.013786062713550611,-0.03179845856810451,-0.013786062713550611,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C3,macro-F1,0.4835434871729308,0.4835434871729308,0.0,0.46020731149825295,0.507363031728931,0.46020731149825295,0.507363031728931,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C3,NLL,1.1089578677682947,1.1089578677682947,0.0,0.9942936925171942,1.2272122119351458,0.9942936925171942,1.2272122119351458,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C3,Brier,0.46893708035001463,0.46893708035001463,0.0,0.4300263721287761,0.5084202172686085,0.4300263721287761,0.5084202172686085,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
