experiment_id,seed,condition,metric,source_mask_specific,oracle_target_fit,oracle_minus_source,analysis_scope,oracle_calibration_subjects,oracle_evaluation_subjects
D2_ISRUC_TO_SLEEPEDF,42,C4,mean_set_size_0.10,2.6076908759714286,3.4474108970857906,0.8397200211143621,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,42,C5,NLL,1.4209992501418942,1.2750904066323592,-0.14590884350953504,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,42,C5,Brier,0.6839549505340592,0.6531043080042389,-0.030850642529820282,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,42,C5,ECE,0.1528932564865537,0.05131323528576558,-0.10158002120078811,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,42,C5,abs_gap_0.10,0.09447792298139679,0.020266431520203576,-0.07421149146119321,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,42,C5,mean_set_size_0.10,2.6629665679092205,3.2088125001907004,0.5458459322814799,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,2026,C4,NLL,1.2916267388751697,1.1267828714370403,-0.1648438674381294,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,2026,C4,Brier,0.5319811175137298,0.5468014346017452,0.014820317088015456,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,2026,C4,ECE,0.08837311600646185,0.13654951817666228,0.04817640217020043,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,2026,C4,abs_gap_0.10,0.045628075999499584,0.020009519770304962,-0.025618556229194622,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,2026,C4,mean_set_size_0.10,2.8035906620817173,3.714937801116132,0.9113471390344148,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,2026,C5,NLL,1.2465351686843609,1.1382963746597412,-0.10823879402461967,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,2026,C5,Brier,0.5947943618686389,0.5803279623396455,-0.014466399528993423,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,2026,C5,ECE,0.11155422035145166,0.07543185163772467,-0.03612236871372698,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,2026,C5,abs_gap_0.10,0.04506665364817741,0.009736711224480499,-0.035329942423696914,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,2026,C5,mean_set_size_0.10,2.6375774625540447,2.956437897229198,0.3188604346751531,DIAGNOSTIC_ORACLE_ONLY,16,62
