experiment_id,condition,metric,point,bootstrap_mean,bootstrap_median,bootstrap_sd,bias,ci_low,ci_high,point_inside_CI,finite_replicates,undefined_replicates
D1_SLEEPEDF_TO_ISRUC,C2,gap_0.1,-0.09341618069054891,-0.09338477790035381,-0.09338897796835458,0.0013966360121871796,3.1402790195103614e-05,-0.09615961848796889,-0.09071635384534799,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C2,coverage_0.05,0.9934161806905489,0.9933847779003538,0.9933889779683547,0.0013966360121871772,-3.1402790195089736e-05,0.990716353845348,0.9961596184879689,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C2,gap_0.05,-0.04341618069054898,-0.04338477790035387,-0.04338897796835463,0.0013966360121871798,3.140279019511055e-05,-0.04615961848796895,-0.04071635384534806,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C3,macro-F1,0.5948987191379381,0.5946698287240717,0.5948423972138198,0.009786367734617326,-0.00022889041386642273,0.5749538132961965,0.6134144015764634,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C3,NLL,1.0942263503766367,1.0937679161577631,1.092534920418935,0.05062642273470386,-0.0004584342188735935,0.9997996451305915,1.2011055787340992,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C3,Brier,0.5021028736443046,0.5019178816604429,0.5018945732960334,0.015035476773787774,-0.00018499198386168203,0.4728236722885787,0.5332047586133617,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,0.7266161580337651,0.726655179546814,0.726770039725237,0.006774247845823857,3.902151304890911e-05,0.7130567496820996,0.7395639884872586,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,0.5406309176020543,0.5405898331339922,0.5408504343644628,0.007891259245510077,-4.108446806205812e-05,0.5242251348295881,0.5554073455069691,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C3,AURC,0.1881268837040546,0.18815140146928724,0.18787989251235188,0.009776790440876787,2.4517765232656696e-05,0.16977649761382857,0.2082310722120998,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C3,coverage_0.1,0.9798533978263465,0.979879870634393,0.9799968436144753,0.003090028682261842,2.647280804646268e-05,0.9734768340748642,0.9855091443486671,True,2000,0
