experiment_id,condition,seed,alpha,signed_coverage_gap,absolute_coverage_error,mean_set_size,median_set_size,singleton_fraction,orientation,analysis_scope
D2_ISRUC_TO_SLEEPEDF,C2,17,0.1,-0.06659554116694866,0.06659554116694866,3.7371054374218233,4.0,0.027665366786844236,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,17,0.05,-0.019906555808991255,0.019906555808991255,3.866676477080421,4.0,0.00956515341034508,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,42,0.1,-0.07343830476050328,0.07343830476050328,3.7798543153557502,4.0,0.025384445588992714,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,42,0.05,-0.028220881465675807,0.028220881465675807,3.8973585460966818,4.0,0.007578544625119564,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,2026,0.1,-0.06953866529320873,0.06953866529320873,3.9110440732837906,4.0,0.007946435140902068,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,2026,0.05,-0.02145169597527785,0.02145169597527785,3.978073725259363,4.0,0.0009565153410345082,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,17,0.1,-0.0020413966613729295,0.0020413966613729295,2.44170416014999,3.0,0.3369449177151588,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,17,0.05,0.01650504505242656,0.01650504505242656,2.877672841544145,3.0,0.22716351657143682,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,42,0.1,0.005342429770508583,0.005342429770508583,2.534493603013295,3.0,0.29150450283279633,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,42,0.05,0.016285747335291756,0.016285747335291756,3.0271639985444416,3.0,0.17366210318560057,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,2026,0.1,0.02323326770467593,0.02323326770467593,2.603774812572748,3.0,0.2732545950101335,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,2026,0.05,0.039210793303466995,0.039210793303466995,2.959094951091789,3.0,0.1759153269825357,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,17,0.1,-0.021886635129566345,0.021886635129566345,3.4864649930957365,4.0,0.0675918941780071,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,17,0.05,0.01210704138461205,0.01210704138461205,3.7684577586809365,4.0,0.03766137058663344,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
