experiment_id,condition,metric,original_b1_source_global_full,b1_source_mask_specific,delta_mask_minus_global,paired_ci95_low,paired_ci95_high,favorable_direction,bootstrap_replicates,bootstrap_seed,calibration_scope
D2_ISRUC_TO_SLEEPEDF,C3,NLL,0.9809435102048502,0.9809435102048502,0.0,0.0,0.0,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C3,Brier,0.4280446630079093,0.4280446630079093,0.0,0.0,0.0,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C3,ECE,0.08511754024791925,0.08511754024791925,0.0,0.0,0.0,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C3,abs_gap_0.10,0.004382500202830338,0.004382500202830338,0.0,0.0,0.0,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C4,NLL,1.129831161654587,1.1752688216768976,0.04543766002231068,0.07361060992502,0.11724970682017812,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C4,Brier,0.5043502200180144,0.506712321725879,0.0023621017078644946,0.0037695925715838076,0.008164940455969202,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C4,ECE,0.05240437237035489,0.0765166253431161,0.024112252972761202,0.021289153459327238,0.030310252908682864,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C4,abs_gap_0.10,0.013002105418742138,0.028885204473030817,0.01588309905428868,0.047678624600244954,0.05748895096808304,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C5,NLL,1.3486594658301971,1.377942233337734,0.029282767507536816,0.02309430867765064,0.02810729176790006,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C5,Brier,0.6638669493542454,0.6701311901458092,0.0062642407915637355,0.007154446109281811,0.008367373253838446,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C5,ECE,0.14151267929011477,0.1561424682531986,0.014629788963083853,0.012771822482008617,0.01357386153443466,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C5,abs_gap_0.10,0.017184024522786483,0.09755270173984225,0.08036867721705576,0.11040717079169012,0.11698894778343616,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
