direction,condition,seed,model,coverage,risk
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.2699973127911143,0.5955461557601394
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.2800071658903619,0.5976487523992322
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.29000582228591903,0.5995521408439829
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.30000447868147617,0.6016272299768605
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.3100031350770333,0.6036406978004117
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.32000179147259045,0.6061581525542338
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.33000044786814764,0.6089980660265327
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.3399991042637048,0.6109464532701048
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.3499977606592619,0.6140311590262004
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.35999641705481905,0.6160425478974869
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.3700062701540666,0.6179870483568359
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.3800049265496238,0.6193759391850084
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.39000358294518095,0.6219855305466238
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.4000022393407381,0.6237928621413575
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.4100008957362952,0.626140149653176
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.41999955213185236,0.6284023353149742
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.42999820852740955,0.6308197062805958
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.4399968649229667,0.6328727383769753
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.44999552131852383,0.6346852450858422
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.4600053744177714,0.6362330834388082
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.47000403081332853,0.6379445887033376
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.4800026872088857,0.6396780965710287
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.49000134360444286,0.6415236615405708
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.5,0.6431162665711214
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.5099986563955572,0.6450855123054293
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.5199973127911143,0.646892898669308
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.5299959691866715,0.648843350586247
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.5399946255822285,0.6505349589450112
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.5500044786814762,0.6524978624648834
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.5600031350770334,0.6538438468459462
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.5700017914725904,0.6556729787066866
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.5800004478681476,0.6573232176985
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.5899991042637047,0.6588036588605913
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.5999977606592619,0.6603467258850094
