experiment_id,condition,stage,b0_point,b1_point,delta,ci95_low,ci95_high
D2_ISRUC_TO_SLEEPEDF,C3,N1,0.2615153486355048,0.21844314345011306,-0.04307220518539173,-0.05276408521914286,-0.033598177548125205
D2_ISRUC_TO_SLEEPEDF,C3,N2,0.5020347547686551,0.5225028447993211,0.020468090030665964,0.012851151559577733,0.028629548114011947
D2_ISRUC_TO_SLEEPEDF,C3,N3,0.9641076769690927,0.9621392233555744,-0.001968453613518273,-0.007594443534575984,0.005246014224322302
D2_ISRUC_TO_SLEEPEDF,C3,REM,0.5765821559899361,0.6323979098122702,0.05581575382233406,0.0438349514341444,0.06761535028591772
D2_ISRUC_TO_SLEEPEDF,C4,Wake,0.5396689707683882,0.7148834694423326,0.17521449867394445,0.157816594611111,0.19194913800254199
D2_ISRUC_TO_SLEEPEDF,C4,N1,0.1746275129325032,0.13917541740234798,-0.035452095530155214,-0.04424774212341363,-0.027111579593747364
D2_ISRUC_TO_SLEEPEDF,C4,N2,0.5301259426411309,0.5099085806862235,-0.02021736195490742,-0.02924933458015243,-0.01103192324969437
D2_ISRUC_TO_SLEEPEDF,C4,N3,0.9715468977682337,0.9722371347495974,0.0006902369813637232,-0.0015847971538354906,0.0031972859999186746
D2_ISRUC_TO_SLEEPEDF,C4,REM,0.35168053673956523,0.5415650603186891,0.1898845235791239,0.16490850142513433,0.2128057083538479
D2_ISRUC_TO_SLEEPEDF,C5,Wake,0.47616895500286693,0.5252324246554066,0.049063469652539715,0.013490382592209927,0.08598087048287748
D2_ISRUC_TO_SLEEPEDF,C5,N1,0.37064399219403393,0.17820524734380325,-0.1924387448502307,-0.22580646989574202,-0.16143164039185848
D2_ISRUC_TO_SLEEPEDF,C5,N2,0.3495824413199869,0.47108912418754456,0.12150668286755767,0.09560500185927252,0.14766626572707833
D2_ISRUC_TO_SLEEPEDF,C5,N3,0.6446557762609607,0.832579185520362,0.18792340925940132,0.14938935569894343,0.22637911036404307
D2_ISRUC_TO_SLEEPEDF,C5,REM,0.6286562157280176,0.4874266176375717,-0.14122959809044583,-0.15879839322231076,-0.12535559538500493
