experiment_id,condition,true_class,predicted_class,b0_row_normalized,b1_row_normalized,b1_minus_b0
D1_SLEEPEDF_TO_ISRUC,C1,3,4,0.0,0.0005688282138794084,0.0005688282138794084
D1_SLEEPEDF_TO_ISRUC,C1,4,0,0.13817923763179238,0.09154501216545012,-0.04663422546634226
D1_SLEEPEDF_TO_ISRUC,C1,4,1,0.09985806974858069,0.10766423357664234,0.007806163828061652
D1_SLEEPEDF_TO_ISRUC,C1,4,2,0.23083941605839417,0.16879562043795623,-0.062043795620437936
D1_SLEEPEDF_TO_ISRUC,C1,4,3,0.002737226277372263,0.002230332522303325,-0.0005068937550689379
D1_SLEEPEDF_TO_ISRUC,C1,4,4,0.5283860502838604,0.629764801297648,0.10137875101378757
D1_SLEEPEDF_TO_ISRUC,C2,0,0,0.8094310786827056,0.9627456780385196,0.15331459935581404
D1_SLEEPEDF_TO_ISRUC,C2,0,1,0.02584138565700388,0.011996318937750607,-0.013845066719253273
D1_SLEEPEDF_TO_ISRUC,C2,0,2,0.03297344376520081,0.008076973640964965,-0.024896470124235848
D1_SLEEPEDF_TO_ISRUC,C2,0,3,0.00010681653848682048,0.0010352987576414908,0.0009284822191546703
D1_SLEEPEDF_TO_ISRUC,C2,0,4,0.13164727535660292,0.016145730625123252,-0.11550154473147967
D1_SLEEPEDF_TO_ISRUC,C2,1,0,0.05593124823894055,0.23795435333896872,0.18202310510002817
D1_SLEEPEDF_TO_ISRUC,C2,1,1,0.5493096646942801,0.3364327979712595,-0.21287686672302059
D1_SLEEPEDF_TO_ISRUC,C2,1,2,0.21653987038602426,0.28289659058889827,0.066356720202874
D1_SLEEPEDF_TO_ISRUC,C2,1,3,0.0,0.0,0.0
D1_SLEEPEDF_TO_ISRUC,C2,1,4,0.17821921668075516,0.1427162581008735,-0.03550295857988167
D1_SLEEPEDF_TO_ISRUC,C2,2,0,0.06389234813892349,0.05856510308565103,-0.005327245053272457
D1_SLEEPEDF_TO_ISRUC,C2,2,1,0.2473709699737097,0.08277985332779854,-0.16459111664591114
D1_SLEEPEDF_TO_ISRUC,C2,2,2,0.6329735713297358,0.7885360453853604,0.15556247405562462
D1_SLEEPEDF_TO_ISRUC,C2,2,3,0.0028019925280199248,0.02210460772104608,0.019302615193026153
D1_SLEEPEDF_TO_ISRUC,C2,2,4,0.052961118029611176,0.04801439048014391,-0.004946727549467268
D1_SLEEPEDF_TO_ISRUC,C2,3,0,0.3740993553280243,0.0335608646188851,-0.3405384907091392
D1_SLEEPEDF_TO_ISRUC,C2,3,1,0.026545316647705725,0.003981797497155859,-0.02256351915054987
D1_SLEEPEDF_TO_ISRUC,C2,3,2,0.5329920364050057,0.5075843761850587,-0.025407660219947004
D1_SLEEPEDF_TO_ISRUC,C2,3,3,0.051952976867652635,0.4507015547971179,0.3987485779294652
D1_SLEEPEDF_TO_ISRUC,C2,3,4,0.014410314751611678,0.004171406901782328,-0.01023890784982935
D1_SLEEPEDF_TO_ISRUC,C2,4,0,0.026054339010543392,0.1477088402270884,0.12165450121654502
D1_SLEEPEDF_TO_ISRUC,C2,4,1,0.15044606650446066,0.09854014598540146,-0.05190592051905919
D1_SLEEPEDF_TO_ISRUC,C2,4,2,0.1637266828872668,0.11841038118410381,-0.04531630170316299
D1_SLEEPEDF_TO_ISRUC,C2,4,3,0.0,0.0,0.0
D1_SLEEPEDF_TO_ISRUC,C2,4,4,0.6597729115977291,0.6353406326034063,-0.024432278994322765
D1_SLEEPEDF_TO_ISRUC,C3,0,0,0.9169971440228478,0.9046919624643003,-0.01230518155854754
D1_SLEEPEDF_TO_ISRUC,C3,0,1,0.03711138310893513,0.05932272541819666,0.022211342309261528
D1_SLEEPEDF_TO_ISRUC,C3,0,2,0.02443084455324357,0.018898408812729497,-0.005532435740514072
D1_SLEEPEDF_TO_ISRUC,C3,0,3,0.0002611179110567115,0.00032639738882088947,6.527947776417795e-05
D1_SLEEPEDF_TO_ISRUC,C3,0,4,0.021199510403916766,0.016760505915952673,-0.004439004487964093
D1_SLEEPEDF_TO_ISRUC,C3,1,0,0.35918189730200173,0.3178706121264868,-0.04131128517551491
D1_SLEEPEDF_TO_ISRUC,C3,1,1,0.2297650130548303,0.29332753118653904,0.06356251813170874
D1_SLEEPEDF_TO_ISRUC,C3,1,2,0.3210037713954163,0.26440382941688423,-0.056599941978532076
D1_SLEEPEDF_TO_ISRUC,C3,1,3,0.000957354221061793,0.0008123005512039455,-0.0001450536698578475
D1_SLEEPEDF_TO_ISRUC,C3,1,4,0.08909196402668988,0.12358572671888597,0.03449376269219609
D1_SLEEPEDF_TO_ISRUC,C3,2,0,0.07243601111308151,0.05772891174558137,-0.014707099367500143
D1_SLEEPEDF_TO_ISRUC,C3,2,1,0.06735236744103563,0.08248507418573033,0.01513270674469469
D1_SLEEPEDF_TO_ISRUC,C3,2,2,0.8171543417863688,0.7803865933676183,-0.03676774841875052
D1_SLEEPEDF_TO_ISRUC,C3,2,3,0.005012709109180114,0.006525979783649583,0.0015132706744694687
D1_SLEEPEDF_TO_ISRUC,C3,2,4,0.03804457055033398,0.07287344091742035,0.034828870367086366
D1_SLEEPEDF_TO_ISRUC,C3,3,0,0.016221116383134667,0.006943640782316861,-0.009277475600817806
D1_SLEEPEDF_TO_ISRUC,C3,3,1,0.019172163715619334,0.014138024148439609,-0.005034139567179725
D1_SLEEPEDF_TO_ISRUC,C3,3,2,0.5537167766076457,0.5170890714809243,-0.03662770512672142
D1_SLEEPEDF_TO_ISRUC,C3,3,3,0.4083439416734174,0.453554758322725,0.045210816649307595
D1_SLEEPEDF_TO_ISRUC,C3,3,4,0.002546001620182849,0.008274505265594262,0.005728503645411413
D1_SLEEPEDF_TO_ISRUC,C3,4,0,0.17880313199105147,0.1597035794183445,-0.019099552572706957
D1_SLEEPEDF_TO_ISRUC,C3,4,1,0.08996085011185682,0.09868568232662193,0.00872483221476511
D1_SLEEPEDF_TO_ISRUC,C3,4,2,0.16082214765100675,0.12983780760626398,-0.030984340044742764
D1_SLEEPEDF_TO_ISRUC,C3,4,3,5.5928411633109614e-05,5.5928411633109614e-05,0.0
D1_SLEEPEDF_TO_ISRUC,C3,4,4,0.5703579418344519,0.6117170022371364,0.041359060402684555
D1_SLEEPEDF_TO_ISRUC,C4,0,0,0.8759853121175031,0.8404406364749081,-0.035544675642595
D1_SLEEPEDF_TO_ISRUC,C4,0,1,0.042415340677274586,0.0848796409628723,0.042464300285597716
D1_SLEEPEDF_TO_ISRUC,C4,0,2,0.03125254997960016,0.024545083639330886,-0.006707466340269277
D1_SLEEPEDF_TO_ISRUC,C4,0,3,0.00047327621379028963,0.0004895960832313342,1.631986944104454e-05
D1_SLEEPEDF_TO_ISRUC,C4,0,4,0.0498735210118319,0.04964504283965728,-0.00022847817217461902
D1_SLEEPEDF_TO_ISRUC,C4,1,0,0.229445894981143,0.20655642587757472,-0.02288946910356829
D1_SLEEPEDF_TO_ISRUC,C4,1,1,0.07539889759210909,0.1442123585726719,0.0688134609805628
D1_SLEEPEDF_TO_ISRUC,C4,1,2,0.2558456628952713,0.24998549463301423,-0.005860168262257048
D1_SLEEPEDF_TO_ISRUC,C4,1,3,0.0006382361473745286,0.0008123005512039455,0.00017406440382941688
D1_SLEEPEDF_TO_ISRUC,C4,1,4,0.4386713083841021,0.39843342036553525,-0.04023788801856687
D1_SLEEPEDF_TO_ISRUC,C4,2,0,0.03096293669090264,0.03065555358515103,-0.0003073831057516102
D1_SLEEPEDF_TO_ISRUC,C4,2,1,0.02495714370160194,0.03808003783176686,0.01312289413016492
D1_SLEEPEDF_TO_ISRUC,C4,2,2,0.7555831412188923,0.7433351066974051,-0.01224803452148715
D1_SLEEPEDF_TO_ISRUC,C4,2,3,0.002317195720281374,0.005745699592126265,0.003428503871844891
D1_SLEEPEDF_TO_ISRUC,C4,2,4,0.18617958266832182,0.18218360229355088,-0.003995980374770947
D1_SLEEPEDF_TO_ISRUC,C4,3,0,0.0084095205030282,0.007560853296300583,-0.0008486672067276159
D1_SLEEPEDF_TO_ISRUC,C4,3,1,0.012691432318790266,0.008621687304710102,-0.004069745014080164
