experiment_id,condition,metric,b0_point,b1_point,delta_b1_minus_b0,ci95_low,ci95_high,probability_variant,bootstrap_replicates
D1_SLEEPEDF_TO_ISRUC,C5,ERROR_AUPRC,0.6993968825632293,0.5893561426231925,-0.11004073994003682,-0.12430926966383063,-0.09586905416418119,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C5,AURC,0.6027357285890305,0.3000112218093998,-0.30272450677963064,-0.33635901524075656,-0.2691023822363047,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C5,coverage_0.1,0.9381290745936001,0.9804318941836857,0.04230281959008564,0.03404599550475956,0.05116214999333655,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C5,gap_0.1,-0.038129074593600064,-0.08043189418368564,-0.042302819590085576,-0.05116214999333661,-0.034045995504759494,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C5,coverage_0.05,0.9381290745936001,0.9804356264182492,0.04230655182464915,0.03404599550475956,0.05117665358018511,UNCALIBRATED,2000
D1_SLEEPEDF_TO_ISRUC,C5,gap_0.05,0.011870925406399868,-0.03043562641824919,-0.042306551824649055,-0.05117665358018517,-0.03404599550475949,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,0.7294060398539052,0.7417448675967213,0.012338827742816139,-0.0008081099055924162,0.025977648512232013,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C0,NLL,0.6228512597958452,0.5963034907825693,-0.026547769013275935,-0.05694775137428289,0.00012773530955757702,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C0,Brier,0.3355650736457613,0.322898935453056,-0.012666138192705345,-0.028179362868287074,0.001140427971213346,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,0.8048039450183669,0.8108766981745971,0.006072753156230126,-0.005765943013692034,0.017256503732341055,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,0.5184007050594294,0.508907875591407,-0.009492829468022324,-0.030151795401004575,0.01025813117663378,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C0,AURC,0.08882475243318418,0.08125377898291043,-0.007570973450273744,-0.017137363128287588,0.001168035147873053,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C0,coverage_0.1,0.9657227859532943,0.9642165158315552,-0.001506270121739095,-0.006791774040925483,0.004372244781375814,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C0,gap_0.1,-0.06572278595329428,-0.06421651583155519,0.001506270121739095,-0.004372244781375967,0.006791774040925552,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C0,coverage_0.05,0.9838270414026867,0.9845485983371348,0.0007215569344480866,-0.003572357020810729,0.005570545363272158,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C0,gap_0.05,-0.03382704140268669,-0.034548598337134896,-0.0007215569344482045,-0.0055705453632721585,0.00357235702081072,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C1,macro-F1,0.6463509345869687,0.6722332298823622,0.025882295295393543,0.014083194828872552,0.03958896390567979,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C1,NLL,0.7969155015947317,0.7389584474911525,-0.05795705410357921,-0.08403154228595004,-0.03506247137939344,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C1,Brier,0.42008478750084666,0.39451817014782947,-0.025566617353017185,-0.037427053118862796,-0.015632640603024026,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C1,ERROR_AUROC,0.7810880746170591,0.7843029047832563,0.003214830166197169,-0.009219865174392558,0.014952994176292245,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C1,ERROR_AUPRC,0.5657668736486542,0.5428155343746616,-0.02295133927399262,-0.05784462260720843,0.006793956258459741,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C1,AURC,0.13468443137766592,0.11958934303909867,-0.01509508833856725,-0.022384081075201494,-0.007753687158877039,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C1,coverage_0.1,0.9854048252691407,0.9868049935006008,0.0014001682314600528,-0.0016704141451227173,0.005857299394033041,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C1,gap_0.1,-0.08540482526914074,-0.08680499350060085,-0.0014001682314601083,-0.005857299394033086,0.0016704141451227416,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C1,coverage_0.05,0.9916145413921208,0.995143845191671,0.0035293037995501875,0.0012469217485088751,0.007021960183801102,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C1,gap_0.05,-0.04161454139212083,-0.04514384519167099,-0.0035293037995501667,-0.007021960183800919,-0.0012469217485089102,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C2,macro-F1,0.4789652822974502,0.6449662512292821,0.16600096893183186,0.12374800512026786,0.206382931906836,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C2,NLL,1.171115671073023,0.8320283849536764,-0.3390872861193467,-0.4062089590791953,-0.27071595847056534,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C2,Brier,0.6115644950196143,0.43553333371842123,-0.17603116130119306,-0.20745098914995747,-0.14503016787750928,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C2,ERROR_AUROC,0.6775934265389141,0.7506083482178352,0.0730149216789211,0.04185431810124604,0.1041184592966459,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C2,ERROR_AUPRC,0.6170303730556991,0.532373138654454,-0.08465723440124506,-0.11843093468664577,-0.05328471955890541,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C2,AURC,0.33072478359926877,0.1490855337862945,-0.18163924981297427,-0.22499538409909864,-0.14004350053208758,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C2,coverage_0.1,0.969890550435732,0.9831260883427758,0.013235537907043793,-0.001173898931737638,0.027142843562226234,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C2,gap_0.1,-0.06989055043573204,-0.08312608834277584,-0.013235537907043793,-0.0271428435622262,0.0011738989317376736,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C2,coverage_0.05,0.9732055109026654,0.9883256076325019,0.015120096729836496,0.0018244937736333316,0.026723575472385366,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C2,gap_0.05,-0.023205510902665514,-0.03832560763250196,-0.015120096729836444,-0.02672357547238537,-0.001824493773633368,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C3,macro-F1,0.4836553070851156,0.497447459906166,0.013792152821050396,0.007404646907674349,0.020147358483534997,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C3,NLL,1.0073216950161061,0.9809435102048502,-0.026378184811255978,-0.06444284021905357,0.010232298219638907,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C3,Brier,0.45765501764813254,0.4280446630079093,-0.02961035464022327,-0.042914235069062154,-0.016723775213957872,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C3,ERROR_AUROC,0.7458940578111194,0.7551488358107715,0.00925477799965213,0.003490817365307558,0.015620626662567378,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C3,ERROR_AUPRC,0.5412173680314185,0.5333029678602964,-0.007914400171122105,-0.01539154896131047,0.0003365114823210531,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C3,AURC,0.1634759095982585,0.15083820142672213,-0.012637708171536366,-0.020466074160976525,-0.004782727834535465,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C3,coverage_0.1,0.8911921522591569,0.8956174997971696,0.004425347538012714,-0.00021983118029745563,0.009331076466553108,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C3,gap_0.1,0.008807847740843087,0.004382500202830338,-0.004425347538012749,-0.00933107646655326,0.0002198311802974565,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C3,coverage_0.05,0.9260472768485866,0.9267995466240603,0.0007522697754737129,-0.002639248407478942,0.004262693656899357,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C3,gap_0.05,0.023952723151413398,0.023200453375939678,-0.0007522697754737198,-0.00426269365689928,0.0026392484074790083,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C4,macro-F1,0.38224132135184563,0.4421581698090513,0.059916848457205685,0.05308358217859475,0.06666889472068013,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C4,NLL,1.495455909547837,1.129831161654587,-0.36562474789324995,-0.40647169943500644,-0.32434032041110766,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C4,Brier,0.6577158345548537,0.5043502200180144,-0.15336561453683928,-0.16762353035373628,-0.13859072651965296,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C4,ERROR_AUROC,0.7102892928260157,0.7169004155980762,0.00661112277206044,-0.0002640674783634611,0.013572630866985664,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C4,ERROR_AUPRC,0.6647735183970406,0.5649256558822696,-0.09984786251477096,-0.11033639441009731,-0.08964529158400246,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C4,AURC,0.3236050987813353,0.2253135026771518,-0.0982915961041835,-0.11263396138311435,-0.08380562751407714,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C4,coverage_0.1,0.8758967818086102,0.9091721872657912,0.033275405457180995,0.027007054689487817,0.040045773676727806,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C4,gap_0.1,0.024103218191389764,-0.009172187265791202,-0.03327540545718097,-0.04004577367672795,-0.027007054689487962,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C4,coverage_0.05,0.9055809852564094,0.9317092449651895,0.026128259708780077,0.022218444140485818,0.030346039447839576,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C4,gap_0.05,0.04441901474359065,0.01829075503481048,-0.026128259708780167,-0.030346039447839684,-0.02221844414048589,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C5,macro-F1,0.3605237823953296,0.36115716176181767,0.0006333793664880516,-0.012549972509524738,0.014505170511243053,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C5,NLL,1.1856572461289165,1.3486594658301971,0.1630022197012806,0.07808147634786172,0.2505279786424497,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C5,Brier,0.6708354433764009,0.6638669493542454,-0.006968494022155491,-0.04100502307386235,0.02689402298551915,SOURCE_TEMPERATURE_SCALED,2000
D2_ISRUC_TO_SLEEPEDF,C5,ERROR_AUROC,0.5914088243945909,0.6223815244762559,0.030972700081665083,0.008523338998657457,0.0536954490495039,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C5,ERROR_AUPRC,0.6042543760898405,0.608135307034503,0.003880930944662575,-0.0143054858824604,0.021088347082537953,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C5,AURC,0.4571236464783606,0.4069023697889411,-0.0502212766894195,-0.09174819671836315,-0.010315730930676923,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C5,coverage_0.1,0.9196198143951229,0.912889805708649,-0.006730008686473887,-0.022926735761082152,0.008562094000877365,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C5,gap_0.1,-0.019619814395122847,-0.012889805708648913,0.006730008686473934,-0.008562094000877265,0.022926735761082187,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C5,coverage_0.05,0.9624139107770113,0.941329426138842,-0.021084484638169365,-0.032313714607784386,-0.01110473195405738,UNCALIBRATED,2000
D2_ISRUC_TO_SLEEPEDF,C5,gap_0.05,-0.012413910777011393,0.008670573861157993,0.021084484638169386,0.011104731954057416,0.032313714607784386,UNCALIBRATED,2000
